month,day,time,net,globali,globalr,pari,parr,tsoil,ppt,t,rh,u,rhsoil
1,1,0,-34.15492958,0,0,0,0,27.91353861,0,27.48904902,74.82527505,3.742,3.360117648
1,1,0.5,-33.5915493,0,0,0,0,27.83436774,0,27.50918195,75.02515557,3.462,3.360117648
1,1,1,-33.8028169,0,0,0,0,27.81457502,0,27.35818502,76.05454028,2.846,3.360117648
1,1,1.5,-34.85915493,0,0,0,0,27.81457502,0.1,27.08639055,77.30379357,3.192,3.360117648
1,1,2,-36.90140845,0,0,0,0,27.78488595,0,26.95552655,78.33317828,3.018,3.360117648
1,1,2.5,-38.73239437,0,0,0,0,27.73540415,0,26.96559301,78.91283181,3.889,3.360117648
1,1,3,-38.09859155,0,0,0,0,27.66612964,0,26.93539362,79.0627422,3.684,3.360117648
1,1,3.5,-37.11267606,0,0,0,0,27.63644057,0,26.69379854,79.69236586,2.645,3.360117648
1,1,4,-38.45070423,0,0,0,0,27.64633693,0.1,26.442137,80.55185213,2.627,3.360117648
1,1,4.5,-39.22535211,0,0,0,0,27.62654421,0,26.24080776,81.25143397,3.32,3.360117648
1,1,5,-39.22535211,0,0,0,0,27.57706241,0,26.13007668,81.55125476,3.771,3.360117648
1,1,5.5,-29.36619718,3.6,1,4.488946629,0,27.52758062,0,26.02941206,81.95101581,2.915,3.360117648
1,1,6,-5.633802817,24.6,7.6,31.95073777,1.547316952,27.49789154,0,26.05961145,82.35077686,2.841,3.360117648
1,1,6.5,26.61971831,61.8,18.4,78.16048248,3.094633905,27.44840975,0,26.22067484,82.65059765,2.111,3.360117648
1,1,7,71.54929577,132.8,40,161.0739673,6.962926286,27.41872068,0.1,26.37167176,82.75053792,2.906,3.360117648
1,1,7.5,230,356.8,107,386.0494101,16.246828,27.41872068,0,27.18705517,80.75173265,3.51,3.360117648
1,1,8,190.8450704,266.2,81,276.9944126,12.89430794,27.35934252,0,27.52931487,78.71295128,3.402,3.330238739
1,1,8.5,195.1408451,262.8,78.2,307.8889276,12.12064946,27.46820247,0.1,27.67024533,77.93341723,3.959,3.330238739
1,1,9,328.3098592,426.2,122.2,490.3514053,18.30991727,27.57706241,0,28.18363488,77.14388915,3.551,3.330238739
